locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv1776c,whiB4,trcR,link
Rv0411c,-0.1109542907,glnH,glutamine-binding lipoprotein GlnH,Amino acid transport and metabolism,Op276,"Rv0023,Rv0047c,Rv0081,Rv0678,trcR,Rv1049,Rv1255c,Rv1776c,Rv2250c,kstR,lsr2,whiB4",True,True,True,https://mycobrowser.epfl.ch/genes/Rv0411c
Rv0412c,-0.1214791511,Rv0412c,membrane protein,Signal transduction mechanisms,Op276,"Rv0047c,Rv0767c,Rv1049,Rv3066,whiB4,Rv3736",False,True,False,https://mycobrowser.epfl.ch/genes/Rv0412c
Rv2248,-0.1537676496,Rv2248,hypothetical protein,Function unknown,Op1412,"Rv0767c,mbcA,sigH,sigM",False,False,False,https://mycobrowser.epfl.ch/genes/Rv2248
Rv1013,-0.1550556675,pks16,polyketide synthase,Lipid transport and metabolism,Op662,"mprA,mprB,Rv1353c,Rv1776c,Rv2011c,Rv2034,sigH,mtrA,Rv3249c,whiB4",True,True,False,https://mycobrowser.epfl.ch/genes/Rv1013
Rv2846c,-0.19104982180000002,efpA,MFS-type transporter EfpA,Amino acid transport and metabolism,Op1791,"Rv0023,Rv0047c,Rv0135c,Rv0767c,mprA,mprB,Rv1816,Rv2250c,sigH,lsr2,whiB4,Acid Shock",False,True,False,https://mycobrowser.epfl.ch/genes/Rv2846c
Rv1592c,-0.1920872609,Rv1592c,hypothetical protein,Function unknown,Op1010,"Rv0081,senX3,regX3,Rv0494,mprA,mprB,Rv1353c,Rv1776c,Rv1816,Rv2324,devR,sigH,whiB4",True,True,False,https://mycobrowser.epfl.ch/genes/Rv1592c
Rv2247,-0.1977457739,accD6,acetyl-/propionyl-CoA carboxylase subunit beta,Lipid transport and metabolism,Op1411,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0767c,trcR,Rv1353c,Rv1719,Rv1776c,Rv1816,mbcA,Rv2011c,Rv2034,devR,Rv3249c,lsr2,Rv3736,sigM,Acid Shock",True,False,True,https://mycobrowser.epfl.ch/genes/Rv2247
Rv2243,-0.22480920940000002,fabD,malonyl CoA-acyl carrier protein transacylase,Lipid transport and metabolism,Op1410,"Rv0767c,sigE,Rv1776c,sigH,whiB4,whiB4,Acid Shock",True,True,False,https://mycobrowser.epfl.ch/genes/Rv2243
Rv2246,-0.2252134627,kasB,3-oxoacyl-ACP synthase 2,Lipid transport and metabolism,Op1411,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0767c,mprA,mprB,trcR,Rv1049,Rv1353c,Rv1776c,Rv1816,mbcA,devR,sigH,Rv3249c,kstR,lsr2,whiB4,whiB4,Rv3736,sigM,Acid Shock",True,True,True,https://mycobrowser.epfl.ch/genes/Rv2246
Rv2245,-0.2315626003,kasA,3-oxoacyl-ACP synthase 1,Lipid transport and metabolism,Op1411,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0767c,mprA,mprB,trcR,Rv1353c,Rv1719,Rv1776c,Rv1816,Rv2011c,sigB,devR,lsr2,whiB4,whiB4,sigM,Acid Shock",True,True,True,https://mycobrowser.epfl.ch/genes/Rv2245
Rv2244,-0.23723555770000002,acpM,meromycolate extension acyl carrier protein,Lipid transport and metabolism,Op1411,"Rv0023,Rv0047c,Rv0081,Rv0135c,nadR,senX3,regX3,Rv0678,Rv0767c,mprA,mprB,sigE,Rv1353c,Rv1776c,Rv1816,Rv2011c,devR,Rv3249c,lsr2,whiB4,whiB4,tcrX,Acid Shock",True,True,False,https://mycobrowser.epfl.ch/genes/Rv2244
