sample,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,project,condition,Biological Replicates,reference_condition,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,DOI
SRX5089865,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274775,SRP172122,PRJNA508198,508198,SRS4101678,SAMN10517955,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866327,10517955,GSE123294,GSM3499445,31378263,0,0,0,0,ITM_04,24h_h37rv_DMSO,2,00h_h37rv_control,True,True,True,ITM_04:24h_h37rv_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089864,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274774,SRP172122,PRJNA508198,508198,SRS4101677,SAMN10517956,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866326,10517956,GSE123294,GSM3499444,31378263,0,0,0,0,ITM_04,24h_h37rv_DMSO,2,00h_h37rv_control,True,True,True,ITM_04:24h_h37rv_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5388955,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588637,SRP186198,PRJNA523038,523038,SRS4377311,SAMN10962883,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291489,10962883,GSE126718,GSM3611790,0,H37Rv,0,0,0,JSF,DMSO,4,DMSO,True,True,True,JSF:DMSO,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388957,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588639,SRP186198,PRJNA523038,523038,SRS4377313,SAMN10962881,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291491,10962881,GSE126718,GSM3611792,0,H37Rv,0,0,0,JSF,DMSO,4,DMSO,True,True,True,JSF:DMSO,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388954,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588636,SRP186198,PRJNA523038,523038,SRS4377310,SAMN10962884,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291488,10962884,GSE126718,GSM3611789,0,H37Rv,0,0,0,JSF,DMSO,4,DMSO,True,True,True,JSF:DMSO,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388956,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588638,SRP186198,PRJNA523038,523038,SRS4377312,SAMN10962882,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291490,10962882,GSE126718,GSM3611791,0,H37Rv,0,0,0,JSF,DMSO,4,DMSO,True,True,True,JSF:DMSO,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388960,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588642,SRP186198,PRJNA523038,523038,SRS4377316,SAMN10962878,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291494,10962878,GSE126718,GSM3611795,0,H37Rv,0,0,0,JSF,JSF_2019,4,DMSO,True,True,True,JSF:JSF_2019,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388961,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588643,SRP186198,PRJNA523038,523038,SRS4377317,SAMN10962877,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291495,10962877,GSE126718,GSM3611796,0,H37Rv,0,0,0,JSF,JSF_2019,4,DMSO,True,True,True,JSF:JSF_2019,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388959,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588641,SRP186198,PRJNA523038,523038,SRS4377315,SAMN10962879,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291493,10962879,GSE126718,GSM3611794,0,H37Rv,0,0,0,JSF,JSF_2019,4,DMSO,True,True,True,JSF:JSF_2019,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388958,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588640,SRP186198,PRJNA523038,523038,SRS4377314,SAMN10962880,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291492,10962880,GSE126718,GSM3611793,0,H37Rv,0,0,0,JSF,JSF_2019,4,DMSO,True,True,True,JSF:JSF_2019,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
SRX5388964,2019-02-20 16:35:09,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,NextSeq 500,SRR8588646,SRP186198,PRJNA523038,523038,SRS4377320,SAMN10962874,SRA850156,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,7291498,10962874,GSE126718,GSM3611799,0,H37Rv,0,0,0,JSF,JSF_2026,4,DMSO,True,True,True,JSF:JSF_2026,True,True,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126718
