,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,project,condition,reference_condition,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ERX2351095,2018-02-13 07:58:42,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR2299758,ERP105223,PRJEB23469,428826,ERS2200168,SAMEA104588886,ERA1209399,RNA-Seq,unspecified,TRANSCRIPTOMIC,,SCHOOL OF VETERINARY MEDICINE,0,0,5095218,8524031,,,,,,,,THP-1,04h_THP_B,00h_THP_B,True,True,True,THP-1:04h_THP_B,True,True
ERX2351096,2018-02-13 07:58:42,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR2299759,ERP105223,PRJEB23469,428826,ERS2200169,SAMEA104588887,ERA1209399,RNA-Seq,unspecified,TRANSCRIPTOMIC,,SCHOOL OF VETERINARY MEDICINE,0,0,5095219,8524032,,,,,,,,THP-1,04h_THP_B,00h_THP_B,True,True,True,THP-1:04h_THP_B,True,True
ERX237499,2013-12-02 14:20:50,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR262989,ERP002485,PRJEB1807,230291,ERS237626,SAMEA2064712,ERA207769,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,MRC NIMR London,0,0,548660,2420645,,,,H37Rv,,,,NO,24_h_NO,00_h_pre_NO,True,True,True,NO:24_h_NO,True,True
ERX237500,2013-12-02 14:20:50,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR262981,ERP002485,PRJEB1807,230291,ERS237627,SAMEA2064713,ERA207769,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,MRC NIMR London,0,0,548661,2420646,,,,H37Rv,,,,NO,24_h_NO,00_h_pre_NO,True,True,True,NO:24_h_NO,True,True
ERX237504,2013-12-02 14:20:50,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR262982,ERP002485,PRJEB1807,230291,ERS237631,SAMEA2064880,ERA207769,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,MRC NIMR London,0,0,548665,2420638,,,,H37Rv,,,,NO,00_h_pre_NO,00_h_pre_NO,True,True,True,NO:00_h_pre_NO,True,True
ERX237505,2013-12-02 14:20:50,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR262985,ERP002485,PRJEB1807,230291,ERS237632,SAMEA2064881,ERA207769,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,MRC NIMR London,0,0,548664,2420639,,,,H37Rv,,,,NO,00_h_pre_NO,00_h_pre_NO,True,True,True,NO:00_h_pre_NO,True,True
ERX3390646,2019-06-21 07:28:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR3366366,ERP115711,PRJEB32965,550066,ERS3506993,SAMEA5703336,ERA1994199,RNA-Seq,cDNA,TRANSCRIPTOMIC,,University at Buffalo Next-Generation Sequencing and Analysis Expression Core Facility,0,0,8154974,12103006,,,,mc2-7000,wild type genotype,,,NO,02_h_NO,00_h_pre_NO,True,True,True,NO:02_h_NO,True,True
ERX3390647,2019-06-21 07:28:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR3366367,ERP115711,PRJEB32965,550066,ERS3506994,SAMEA5703337,ERA1994199,RNA-Seq,cDNA,TRANSCRIPTOMIC,,University at Buffalo Next-Generation Sequencing and Analysis Expression Core Facility,0,0,8154975,12103007,,,,mc2-7000,wild type genotype,,,NO,02_h_NO,00_h_pre_NO,True,True,True,NO:02_h_NO,True,True
SRX1091377,2020-07-01 16:46:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR2096257,SRP060638,PRJNA289444,289444,SRS987021,SAMN03853752,SRA276657,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1596929,3853752,GSE70718,GSM1816825,,,,,,growth,wt_expn,wt_expn,True,True,True,growth:wt_expn,True,True
SRX1091378,2020-07-01 16:46:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR2096258,SRP060638,PRJNA289444,289444,SRS987020,SAMN03853753,SRA276657,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1596930,3853753,GSE70718,GSM1816826,,,,,,growth,tss_expnt,wt_expn,True,True,True,growth:tss_expnt,True,True
SRX1091379,2020-07-01 16:46:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR2096259,SRP060638,PRJNA289444,289444,SRS987019,SAMN03853754,SRA276657,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1596931,3853754,GSE70718,GSM1816827,,,,,,growth,tss_expnt,wt_expn,True,True,True,growth:tss_expnt,True,True
SRX1091380,2020-07-01 16:46:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR2096260,SRP060638,PRJNA289444,289444,SRS987018,SAMN03853755,SRA276657,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1596932,3853755,GSE70718,GSM1816828,,,,,,growth,wt_expn,wt_expn,True,True,True,growth:wt_expn,True,True
SRX1372108,2016-11-01 15:50:47,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR2776870,SRP065198,PRJNA299665,299665,SRS1130719,SAMN04211708,SRA307009,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1953353,4211708,GSE74323,GSM1917079,26999439,H37Rv,,,,orF,mc2_7000_retapamulin,mc2_7000_retapamulin,True,True,True,orF:mc2_7000_retapamulin,True,True
SRX1372109,2016-11-01 15:50:47,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR2776871,SRP065198,PRJNA299665,299665,SRS1130718,SAMN04211709,SRA307009,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1953354,4211709,GSE74323,GSM1917080,26999439,H37Rv,,,,orF,mc2_7000_retapamulin,mc2_7000_retapamulin,True,True,True,orF:mc2_7000_retapamulin,True,True
SRX1372110,2016-11-01 15:50:47,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR2776872,SRP065198,PRJNA299665,299665,SRS1130717,SAMN04211710,SRA307009,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1953355,4211710,GSE74323,GSM1917081,26999439,H37Rv delta-csoR,,,,hs2,treated,untreated,True,True,True,hs2:treated,True,True
SRX1372111,2016-11-01 15:50:47,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR2776873,SRP065198,PRJNA299665,299665,SRS1130716,SAMN04211711,SRA307009,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1953356,4211711,GSE74323,GSM1917082,26999439,H37Rv delta-csoR,,,,hs2,treated,untreated,True,True,True,hs2:treated,True,True
SRX1559977,2016-07-01 15:40:40,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 1000,SRR3143845,SRP069259,PRJNA310781,310781,SRS1274657,SAMN04455491,SRA346649,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2207366,4455491,GSE77556,GSM2054451,27432954,H37Rv,,,,hs2,treated,untreated,True,True,True,hs2:treated,True,True
SRX1559978,2016-07-01 15:40:40,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 1000,SRR3143846,SRP069259,PRJNA310781,310781,SRS1274656,SAMN04455492,SRA346649,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2207367,4455492,GSE77556,GSM2054452,27432954,H37Rv,,,,hs2,untreated,untreated,True,True,True,hs2:untreated,True,True
SRX1559979,2016-07-01 15:40:40,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 1000,SRR3143847,SRP069259,PRJNA310781,310781,SRS1274655,SAMN04455493,SRA346649,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2207368,4455493,GSE77556,GSM2054453,27432954,resistant clone 1A,,,,hs2,untreated,untreated,True,True,True,hs2:untreated,True,True
SRX1559980,2016-07-01 15:40:40,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 1000,SRR3143848,SRP069259,PRJNA310781,310781,SRS1274654,SAMN04455494,SRA346649,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2207369,4455494,GSE77556,GSM2054454,27432954,resistant clone 1A,,,,hs2,untreated,untreated,True,True,True,hs2:untreated,True,True
SRX1559981,2016-07-01 15:40:40,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 1000,SRR3143849,SRP069259,PRJNA310781,310781,SRS1274653,SAMN04455495,SRA346649,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2207370,4455495,GSE77556,GSM2054455,27432954,resistant clone 8A,,,,otsB2,partially_silenced_t6p,partially_silenced_t6p,True,True,True,otsB2:partially_silenced_t6p,True,True
SRX1559982,2016-07-01 15:40:40,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 1000,SRR3143850,SRP069259,PRJNA310781,310781,SRS1274652,SAMN04455496,SRA346649,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2207371,4455496,GSE77556,GSM2054456,27432954,resistant clone 8A,,,,otsB2,partially_silenced_t6p,partially_silenced_t6p,True,True,True,otsB2:partially_silenced_t6p,True,True
SRX1882556,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725586,SRP077489,PRJNA327080,327080,SRS1528999,SAMN05301000,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689287,5301000,GSE83814,GSM2219057,27630619,,,,,biofilm,biofilm,biofilm,True,True,True,biofilm:biofilm,True,True
SRX1882557,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725587,SRP077489,PRJNA327080,327080,SRS1529000,SAMN05301001,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689288,5301001,GSE83814,GSM2219058,27630619,,,,,biofilm,biofilm,biofilm,True,True,True,biofilm:biofilm,True,True
SRX1882558,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725588,SRP077489,PRJNA327080,327080,SRS1529001,SAMN05300974,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689289,5300974,GSE83814,GSM2219059,27630619,,,,,csoR,wt,wt,True,True,True,csoR:wt,True,True
SRX1882559,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725589,SRP077489,PRJNA327080,327080,SRS1529002,SAMN05300975,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689290,5300975,GSE83814,GSM2219060,27630619,,,,,csoR,wt,wt,True,True,True,csoR:wt,True,True
SRX1882560,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725590,SRP077489,PRJNA327080,327080,SRS1529003,SAMN05300976,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689291,5300976,GSE83814,GSM2219061,27630619,,,,,csoR,ko,wt,True,True,True,csoR:ko,True,True
SRX1882561,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725591,SRP077489,PRJNA327080,327080,SRS1529004,SAMN05300977,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689292,5300977,GSE83814,GSM2219062,27630619,,,,,csoR,ko,wt,True,True,True,csoR:ko,True,True
SRX1882568,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725598,SRP077489,PRJNA327080,327080,SRS1529011,SAMN05300984,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689299,5300984,GSE83814,GSM2219069,27630619,,,,,reactivation,days_0_persistence,days_0_persistence,True,True,True,reactivation:days_0_persistence,True,True
SRX1882569,2017-01-03 09:57:16,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR3725599,SRP077489,PRJNA327080,327080,SRS1529012,SAMN05300985,SRA436597,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2689300,5300985,GSE83814,GSM2219070,27630619,,,,,reactivation,days_0_persistence,days_0_persistence,True,True,True,reactivation:days_0_persistence,True,True
SRX212035,2012-12-19 12:28:02,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR638895,SRP017614,PRJNA182521,182521,SRS415389,SAMN01821757,SRA063010,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,128,0,288178,1821757,,,,,,,,reactivation,days_0_persistence,days_0_persistence,True,True,True,reactivation:days_0_persistence,True,True
SRX2345940,2017-01-26 10:19:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5017556,SRP093313,PRJNA353497,353497,SRS1796860,SAMN06015012,SRA493174,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3422275,6015012,GSE89830,GSM2390143,28240248,H37Rv,pL3 conditional mutant (TB416),,,reactivation,day_1_reactivation,days_0_persistence,True,True,True,reactivation:day_1_reactivation,True,True
SRX2345941,2017-01-26 10:19:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5017558,SRP093313,PRJNA353497,353497,SRS1796850,SAMN06015011,SRA493174,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3422276,6015011,GSE89830,GSM2390144,28240248,H37Rv,pL3 conditional mutant (TB416),,,reactivation,day_1_reactivation,days_0_persistence,True,True,True,reactivation:day_1_reactivation,True,True
SRX2345942,2017-01-26 10:19:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5017559,SRP093313,PRJNA353497,353497,SRS1796863,SAMN06015010,SRA493174,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3422277,6015010,GSE89830,GSM2390145,28240248,H37Rv,pL3 conditional mutant (TB416),,,reactivation,day_1_reactivation,days_0_persistence,True,True,True,reactivation:day_1_reactivation,True,True
SRX2345943,2017-01-26 10:19:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5017560,SRP093313,PRJNA353497,353497,SRS1796851,SAMN06015009,SRA493174,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3422278,6015009,GSE89830,GSM2390146,28240248,H37Rv,pL3 conditional mutant (TB416),,,reactivation,day_2_reactivation,days_0_persistence,True,True,True,reactivation:day_2_reactivation,True,True
SRX2345945,2017-01-26 10:19:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5017561,SRP093313,PRJNA353497,353497,SRS1796849,SAMN06015008,SRA493174,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3422280,6015008,GSE89830,GSM2390147,28240248,H37Rv,wild type,,,reactivation,day_2_reactivation,days_0_persistence,True,True,True,reactivation:day_2_reactivation,True,True
SRX2345946,2017-01-26 10:19:19,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5017562,SRP093313,PRJNA353497,353497,SRS1796876,SAMN06014991,SRA493174,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3422281,6014991,GSE89830,GSM2390148,28240248,H37Rv,wild type,,,reactivation,day_2_reactivation,days_0_persistence,True,True,True,reactivation:day_2_reactivation,True,True
SRX2382017,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061507,SRP094075,PRJNA354066,354066,SRS1824370,SAMN06040671,SRA499635,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469486,6040671,,,,DUC_0h_1,missing,,,reactivation,day_3_reactivation,days_0_persistence,True,True,True,reactivation:day_3_reactivation,True,True
SRX2382019,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061509,SRP094075,PRJNA354066,354066,SRS1824372,SAMN06040691,SRA499637,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469488,6040691,,,,DUC-3h-1-8,missing,,,reactivation,day_3_reactivation,days_0_persistence,True,True,True,reactivation:day_3_reactivation,True,True
SRX2382020,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061510,SRP094075,PRJNA354066,354066,SRS1824373,SAMN06040676,SRA499638,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469489,6040676,,,,DUC_ATC_6h_2,missing,,,reactivation,day_4_reactivation,days_0_persistence,True,True,True,reactivation:day_4_reactivation,True,True
SRX2382021,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061511,SRP094075,PRJNA354066,354066,SRS1824374,SAMN06040681,SRA499639,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469490,6040681,,,,WT_0h_1,missing,,,reactivation,day_4_reactivation,days_0_persistence,True,True,True,reactivation:day_4_reactivation,True,True
SRX2382022,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061512,SRP094075,PRJNA354066,354066,SRS1824375,SAMN06040684,SRA499640,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469491,6040684,,,,WT_ATC_6h_2,missing,,,reactivation,day_4_reactivation,days_0_persistence,True,True,True,reactivation:day_4_reactivation,True,True
SRX2382024,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061514,SRP094075,PRJNA354066,354066,SRS1824377,SAMN06040672,SRA499642,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469493,6040672,,,,DUC_0h_2,missing,,,mmpl3,mutant_with_ATC,mutant_no_ATC,True,True,True,mmpl3:mutant_with_ATC,True,True
SRX2382025,2016-11-29 00:00:00,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR5061515,SRP094075,PRJNA354066,354066,SRS1824378,SAMN06040697,SRA499643,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,BI,0,0,3469494,6040697,,,,WT-0h-2-8,missing,,,mmpl3,mutant_with_ATC,mutant_no_ATC,True,True,True,mmpl3:mutant_with_ATC,True,True
