,regulator,regulator_id,evidence,gene_id
135,whiB5,Rv0022c,ChipSeq,Rv2657c
136,whiB5,Rv0022c,ChipSeq,Rv2659c
137,whiB5,Rv0022c,ChipSeq,Rv2690c
138,whiB5,Rv0022c,ChipSeq,Rv2718c
139,whiB5,Rv0022c,ChipSeq,Rv2723
140,whiB5,Rv0022c,ChipSeq,Rv2796c
141,whiB5,Rv0022c,ChipSeq,Rv2797c
142,whiB5,Rv0022c,ChipSeq,Rv2800
143,whiB5,Rv0022c,ChipSeq,Rv2819c
144,whiB5,Rv0022c,ChipSeq,Rv2820c
145,whiB5,Rv0022c,ChipSeq,Rv2821c
146,whiB5,Rv0022c,ChipSeq,Rv2822c
147,whiB5,Rv0022c,ChipSeq,Rv2823c
148,whiB5,Rv0022c,ChipSeq,Rv2897c
149,whiB5,Rv0022c,ChipSeq,Rv2900c
150,whiB5,Rv0022c,ChipSeq,Rv2906c
151,whiB5,Rv0022c,ChipSeq,Rv2921c
152,whiB5,Rv0022c,ChipSeq,Rv2930
153,whiB5,Rv0022c,ChipSeq,Rv2931
154,whiB5,Rv0022c,ChipSeq,Rv2932
155,whiB5,Rv0022c,ChipSeq,Rv2933
156,whiB5,Rv0022c,ChipSeq,Rv2936
157,whiB5,Rv0022c,ChipSeq,Rv2937
158,whiB5,Rv0022c,ChipSeq,Rv2938
159,whiB5,Rv0022c,ChipSeq,Rv2940c
160,whiB5,Rv0022c,ChipSeq,Rv2983
161,whiB5,Rv0022c,ChipSeq,Rv3002c
162,whiB5,Rv0022c,ChipSeq,Rv3003c
163,whiB5,Rv0022c,ChipSeq,Rv3027c
164,whiB5,Rv0022c,ChipSeq,Rv3031
165,whiB5,Rv0022c,ChipSeq,Rv3065
166,whiB5,Rv0022c,ChipSeq,Rv3066
167,whiB5,Rv0022c,ChipSeq,Rv3086
168,whiB5,Rv0022c,ChipSeq,Rv3101c
169,whiB5,Rv0022c,ChipSeq,Rv3157
170,whiB5,Rv0022c,ChipSeq,Rv3159c
171,whiB5,Rv0022c,ChipSeq,Rv3161c
172,whiB5,Rv0022c,ChipSeq,Rv3168
173,whiB5,Rv0022c,ChipSeq,Rv3202c
174,whiB5,Rv0022c,ChipSeq,Rv3255c
175,whiB5,Rv0022c,ChipSeq,Rv3267
176,whiB5,Rv0022c,ChipSeq,Rv3292
177,whiB5,Rv0022c,ChipSeq,Rv3318
178,whiB5,Rv0022c,ChipSeq,Rv3349c
179,whiB5,Rv0022c,ChipSeq,Rv3362c
180,whiB5,Rv0022c,ChipSeq,Rv3365c
181,whiB5,Rv0022c,ChipSeq,Rv3469c
182,whiB5,Rv0022c,ChipSeq,Rv3480c
183,whiB5,Rv0022c,ChipSeq,Rv3491
184,whiB5,Rv0022c,ChipSeq,Rv3493c
185,whiB5,Rv0022c,ChipSeq,Rv3494c
186,whiB5,Rv0022c,ChipSeq,Rv3495c
187,whiB5,Rv0022c,ChipSeq,Rv3496c
188,whiB5,Rv0022c,ChipSeq,Rv3497c
189,whiB5,Rv0022c,ChipSeq,Rv3498c
190,whiB5,Rv0022c,ChipSeq,Rv3499c
191,whiB5,Rv0022c,ChipSeq,Rv3500c
192,whiB5,Rv0022c,ChipSeq,Rv3501c
193,whiB5,Rv0022c,ChipSeq,Rv3509c
194,whiB5,Rv0022c,ChipSeq,Rv3512
195,whiB5,Rv0022c,ChipSeq,Rv3563
196,whiB5,Rv0022c,ChipSeq,Rv3568c
197,whiB5,Rv0022c,ChipSeq,Rv3575c
198,whiB5,Rv0022c,ChipSeq,Rv3578
199,whiB5,Rv0022c,ChipSeq,Rv3591c
200,whiB5,Rv0022c,ChipSeq,Rv3631
201,whiB5,Rv0022c,ChipSeq,Rv3639c
202,whiB5,Rv0022c,ChipSeq,Rv3693
203,whiB5,Rv0022c,ChipSeq,Rv3719
204,whiB5,Rv0022c,ChipSeq,Rv3726
205,whiB5,Rv0022c,ChipSeq,Rv3729
206,whiB5,Rv0022c,ChipSeq,Rv3791
207,whiB5,Rv0022c,ChipSeq,Rv3793
208,whiB5,Rv0022c,ChipSeq,Rv3795
209,whiB5,Rv0022c,ChipSeq,Rv3818
210,whiB5,Rv0022c,ChipSeq,Rv3825c
211,whiB5,Rv0022c,ChipSeq,Rv3854c
212,whiB5,Rv0022c,ChipSeq,Rv3859c
213,whiB5,Rv0022c,ChipSeq,Rv3869
214,whiB5,Rv0022c,ChipSeq,Rv3877
215,whiB5,Rv0022c,ChipSeq,Rv3894c
216,Rv0023,Rv0023,Predicted Binding,Rv0001
217,Rv0023,Rv0023,Predicted Binding,Rv0003
218,Rv0023,Rv0023,Predicted Binding,Rv0004
219,Rv0023,Rv0023,Predicted Binding,Rv0005
220,Rv0023,Rv0023,Predicted Binding,Rv0007
221,Rv0023,Rv0023,Predicted Binding,Rv0008c
222,Rv0023,Rv0023,Predicted Binding,Rv0013
223,Rv0023,Rv0023,Predicted Binding,Rv0014c
224,Rv0023,Rv0023,Predicted Binding,Rv0015c
225,Rv0023,Rv0023,Predicted Binding,Rv0033
226,Rv0023,Rv0023,Predicted Binding,Rv0034
227,Rv0023,Rv0023,Predicted Binding,Rv0035
228,Rv0023,Rv0023,Predicted Binding,Rv0046c
229,Rv0023,Rv0023,Predicted Binding,Rv0047c
230,Rv0023,Rv0023,ChipSeq,Rv0053
231,Rv0023,Rv0023,ChipSeq,Rv0055
232,Rv0023,Rv0023,Predicted Binding,Rv0056
233,Rv0023,Rv0023,Predicted Binding,Rv0059
234,Rv0023,Rv0023,Predicted Binding,Rv0060
235,Rv0023,Rv0023,Predicted Binding,Rv0062
236,Rv0023,Rv0023,Predicted Binding,Rv0063
237,Rv0023,Rv0023,Predicted Binding,Rv0064
238,Rv0023,Rv0023,Predicted Binding,Rv0065
239,Rv0023,Rv0023,Predicted Binding,Rv0072
240,Rv0023,Rv0023,Predicted Binding,Rv0073
241,Rv0023,Rv0023,Predicted Binding,Rv0092
242,Rv0023,Rv0023,Predicted Binding,Rv0093c
243,Rv0023,Rv0023,Predicted Binding,Rv0099
244,Rv0023,Rv0023,Predicted Binding,Rv0100
245,Rv0023,Rv0023,Predicted Binding,Rv0101
246,Rv0023,Rv0023,Predicted Binding,Rv0102
247,Rv0023,Rv0023,Predicted Binding,Rv0103c
248,Rv0023,Rv0023,Predicted Binding,Rv0104
249,Rv0023,Rv0023,Predicted Binding,Rv0105c
250,Rv0023,Rv0023,Predicted Binding,Rv0107c
251,Rv0023,Rv0023,ChipSeq,Rv0114
252,Rv0023,Rv0023,Predicted Binding,Rv0116c
253,Rv0023,Rv0023,Predicted Binding,Rv0125
254,Rv0023,Rv0023,Predicted Binding,Rv0126
255,Rv0023,Rv0023,Predicted Binding,Rv0127
256,Rv0023,Rv0023,Predicted Binding,Rv0128
257,Rv0023,Rv0023,ChipSeq,Rv0130
258,Rv0023,Rv0023,Predicted Binding,Rv0136
259,Rv0023,Rv0023,Predicted Binding,Rv0137c
260,Rv0023,Rv0023,Predicted Binding,Rv0138
261,Rv0023,Rv0023,Predicted Binding,Rv0139
262,Rv0023,Rv0023,Predicted Binding,Rv0146
263,Rv0023,Rv0023,Predicted Binding,Rv0148
264,Rv0023,Rv0023,Predicted Binding,Rv0149
265,Rv0023,Rv0023,Predicted Binding,Rv0150c
266,Rv0023,Rv0023,Predicted Binding,Rv0151c
267,Rv0023,Rv0023,Predicted Binding,Rv0152c
268,Rv0023,Rv0023,Predicted Binding,Rv0157
269,Rv0023,Rv0023,Predicted Binding,Rv0157A
270,Rv0023,Rv0023,Predicted Binding,Rv0158
271,Rv0023,Rv0023,Predicted Binding,Rv0159c
272,Rv0023,Rv0023,Predicted Binding,Rv0160c
273,Rv0023,Rv0023,ChipSeq,Rv0168
274,Rv0023,Rv0023,Predicted Binding,Rv0169
275,Rv0023,Rv0023,Predicted Binding,Rv0170
276,Rv0023,Rv0023,Predicted Binding,Rv0171
277,Rv0023,Rv0023,Predicted Binding,Rv0172
278,Rv0023,Rv0023,Predicted Binding,Rv0175
279,Rv0023,Rv0023,Predicted Binding,Rv0176
280,Rv0023,Rv0023,Predicted Binding,Rv0177
281,Rv0023,Rv0023,Predicted Binding,Rv0178
282,Rv0023,Rv0023,Predicted Binding,Rv0179c
283,Rv0023,Rv0023,Predicted Binding,Rv0180c
284,Rv0023,Rv0023,Predicted Binding,Rv0186
285,Rv0023,Rv0023,Predicted Binding,Rv0187
286,Rv0023,Rv0023,Predicted Binding,Rv0196
287,Rv0023,Rv0023,Predicted Binding,Rv0197
288,Rv0023,Rv0023,Predicted Binding,Rv0198c
289,Rv0023,Rv0023,Predicted Binding,Rv0199
290,Rv0023,Rv0023,Predicted Binding,Rv0200
291,Rv0023,Rv0023,Predicted Binding,Rv0211
292,Rv0023,Rv0023,Predicted Binding,Rv0212c
293,Rv0023,Rv0023,Predicted Binding,Rv0213c
294,Rv0023,Rv0023,Predicted Binding,Rv0214
295,Rv0023,Rv0023,ChipSeq,Rv0230c
296,Rv0023,Rv0023,Predicted Binding,Rv0233
297,Rv0023,Rv0023,Predicted Binding,Rv0234c
298,Rv0023,Rv0023,Predicted Binding,Rv0235c
299,Rv0023,Rv0023,Predicted Binding,Rv0236c
300,Rv0023,Rv0023,Predicted Binding,Rv0240
301,Rv0023,Rv0023,Predicted Binding,Rv0241c
302,Rv0023,Rv0023,Predicted Binding,Rv0242c
303,Rv0023,Rv0023,Predicted Binding,Rv0243
304,Rv0023,Rv0023,Predicted Binding,Rv0246
305,Rv0023,Rv0023,Predicted Binding,Rv0247c
306,Rv0023,Rv0023,Predicted Binding,Rv0248c
307,Rv0023,Rv0023,Predicted Binding,Rv0250c
308,Rv0023,Rv0023,Predicted Binding,Rv0251c
309,Rv0023,Rv0023,Predicted Binding,Rv0252
310,Rv0023,Rv0023,ChipSeq,Rv0256c
311,Rv0023,Rv0023,ChipSeq,Rv0259c
312,Rv0023,Rv0023,Predicted Binding,Rv0274
313,Rv0023,Rv0023,Predicted Binding,Rv0275c
314,Rv0023,Rv0023,Predicted Binding,Rv0276
315,Rv0023,Rv0023,Predicted Binding,Rv0296c
316,Rv0023,Rv0023,Predicted Binding,Rv0297
317,Rv0023,Rv0023,Predicted Binding,Rv0304c
318,Rv0023,Rv0023,Predicted Binding,Rv0305c
319,Rv0023,Rv0023,Predicted Binding,Rv0306
320,Rv0023,Rv0023,Predicted Binding,Rv0307c
321,Rv0023,Rv0023,Predicted Binding,Rv0308
322,Rv0023,Rv0023,Predicted Binding,Rv0309
323,Rv0023,Rv0023,Predicted Binding,Rv0312
324,Rv0023,Rv0023,Predicted Binding,Rv0313
325,Rv0023,Rv0023,Predicted Binding,Rv0320
326,Rv0023,Rv0023,Predicted Binding,Rv0321
327,Rv0023,Rv0023,Predicted Binding,Rv0322
328,Rv0023,Rv0023,Predicted Binding,Rv0325
329,Rv0023,Rv0023,Predicted Binding,Rv0326
330,Rv0023,Rv0023,Predicted Binding,Rv0327c
331,Rv0023,Rv0023,Predicted Binding,Rv0329c
332,Rv0023,Rv0023,Predicted Binding,Rv0330c
333,Rv0023,Rv0023,Predicted Binding,Rv0331
334,Rv0023,Rv0023,Predicted Binding,Rv0332
335,Rv0023,Rv0023,Predicted Binding,Rv0335c
336,Rv0023,Rv0023,Predicted Binding,Rv0336
337,Rv0023,Rv0023,Predicted Binding,Rv0337c
338,Rv0023,Rv0023,Predicted Binding,Rv0338c
339,Rv0023,Rv0023,Predicted Binding,Rv0346c
340,Rv0023,Rv0023,Predicted Binding,Rv0347
341,Rv0023,Rv0023,Predicted Binding,Rv0348
342,Rv0023,Rv0023,Predicted Binding,Rv0349
343,Rv0023,Rv0023,Predicted Binding,Rv0355c
344,Rv0023,Rv0023,Predicted Binding,Rv0362
345,Rv0023,Rv0023,Predicted Binding,Rv0373c
346,Rv0023,Rv0023,Predicted Binding,Rv0374c
347,Rv0023,Rv0023,Predicted Binding,Rv0376c
348,Rv0023,Rv0023,Predicted Binding,Rv0377
349,Rv0023,Rv0023,Predicted Binding,Rv0389
350,Rv0023,Rv0023,Predicted Binding,Rv0396
351,Rv0023,Rv0023,Predicted Binding,Rv0397
352,Rv0023,Rv0023,Predicted Binding,Rv0402c
353,Rv0023,Rv0023,Predicted Binding,Rv0403c
354,Rv0023,Rv0023,Predicted Binding,Rv0405
355,Rv0023,Rv0023,Predicted Binding,Rv0407
356,Rv0023,Rv0023,Predicted Binding,Rv0408
357,Rv0023,Rv0023,Predicted Binding,Rv0409
358,Rv0023,Rv0023,ChipSeq,Rv0410c
359,Rv0023,Rv0023,ChipSeq,Rv0411c
360,Rv0023,Rv0023,Predicted Binding,Rv0418
361,Rv0023,Rv0023,Predicted Binding,Rv0419
362,Rv0023,Rv0023,Predicted Binding,Rv0423c
363,Rv0023,Rv0023,Predicted Binding,Rv0425c
364,Rv0023,Rv0023,Predicted Binding,Rv0433
365,Rv0023,Rv0023,Predicted Binding,Rv0434
366,Rv0023,Rv0023,Predicted Binding,Rv0435c
367,Rv0023,Rv0023,Predicted Binding,Rv0436c
368,Rv0023,Rv0023,Predicted Binding,Rv0449c
369,Rv0023,Rv0023,Predicted Binding,Rv0450c
370,Rv0023,Rv0023,ChipSeq,Rv0451c
371,Rv0023,Rv0023,ChipSeq,Rv0455c
372,Rv0023,Rv0023,Predicted Binding,Rv0457c
373,Rv0023,Rv0023,Predicted Binding,Rv0462
374,Rv0023,Rv0023,Predicted Binding,Rv0463
375,Rv0023,Rv0023,Predicted Binding,Rv0470A
376,Rv0023,Rv0023,Predicted Binding,Rv0470c
377,Rv0023,Rv0023,Predicted Binding,Rv0471c
378,Rv0023,Rv0023,Predicted Binding,Rv0476
379,Rv0023,Rv0023,Predicted Binding,Rv0477
380,Rv0023,Rv0023,Predicted Binding,Rv0478
381,Rv0023,Rv0023,Predicted Binding,Rv0505c
382,Rv0023,Rv0023,Predicted Binding,Rv0506
383,Rv0023,Rv0023,Predicted Binding,Rv0507
384,Rv0023,Rv0023,Predicted Binding,Rv0515
385,Rv0023,Rv0023,Predicted Binding,Rv0516c
386,Rv0023,Rv0023,Predicted Binding,Rv0522
387,Rv0023,Rv0023,Predicted Binding,Rv0549c
388,Rv0023,Rv0023,Predicted Binding,Rv0550c
389,Rv0023,Rv0023,Predicted Binding,Rv0559c
390,Rv0023,Rv0023,Predicted Binding,Rv0560c
391,Rv0023,Rv0023,Predicted Binding,Rv0561c
392,Rv0023,Rv0023,Predicted Binding,Rv0564c
393,Rv0023,Rv0023,Predicted Binding,Rv0565c
394,Rv0023,Rv0023,Predicted Binding,Rv0567
395,Rv0023,Rv0023,Predicted Binding,Rv0568
396,Rv0023,Rv0023,Predicted Binding,Rv0573c
397,Rv0023,Rv0023,Predicted Binding,Rv0574c
398,Rv0023,Rv0023,Predicted Binding,Rv0578c
399,Rv0023,Rv0023,Predicted Binding,Rv0579
400,Rv0023,Rv0023,Predicted Binding,Rv0592
401,Rv0023,Rv0023,Predicted Binding,Rv0593
402,Rv0023,Rv0023,Predicted Binding,Rv0594
403,Rv0023,Rv0023,Predicted Binding,Rv0595c
404,Rv0023,Rv0023,Predicted Binding,Rv0596c
405,Rv0023,Rv0023,Predicted Binding,Rv0597c
406,Rv0023,Rv0023,Predicted Binding,Rv0598c
407,Rv0023,Rv0023,Predicted Binding,Rv0599c
408,Rv0023,Rv0023,Predicted Binding,Rv0621
409,Rv0023,Rv0023,Predicted Binding,Rv0622
410,Rv0023,Rv0023,Predicted Binding,Rv0623
411,Rv0023,Rv0023,Predicted Binding,Rv0634B
412,Rv0023,Rv0023,Predicted Binding,Rv0634c
413,Rv0023,Rv0023,Predicted Binding,Rv0635
414,Rv0023,Rv0023,Predicted Binding,Rv0636
415,Rv0023,Rv0023,Predicted Binding,Rv0637
416,Rv0023,Rv0023,Predicted Binding,Rv0638
417,Rv0023,Rv0023,Predicted Binding,Rv0639
418,Rv0023,Rv0023,Predicted Binding,Rv0640
419,Rv0023,Rv0023,Predicted Binding,Rv0641
420,Rv0023,Rv0023,Predicted Binding,Rv0662c
421,Rv0023,Rv0023,Predicted Binding,Rv0663
422,Rv0023,Rv0023,Predicted Binding,Rv0667
423,Rv0023,Rv0023,Predicted Binding,Rv0669c
424,Rv0023,Rv0023,Predicted Binding,Rv0670
425,Rv0023,Rv0023,Predicted Binding,Rv0686
426,Rv0023,Rv0023,Predicted Binding,Rv0687
427,Rv0023,Rv0023,Predicted Binding,Rv0688
428,Rv0023,Rv0023,ChipSeq,Rv0690c
429,Rv0023,Rv0023,ChipSeq,Rv0692
430,Rv0023,Rv0023,Predicted Binding,Rv0693
431,Rv0023,Rv0023,Predicted Binding,Rv0694
432,Rv0023,Rv0023,Predicted Binding,Rv0703
433,Rv0023,Rv0023,Predicted Binding,Rv0704
434,Rv0023,Rv0023,Predicted Binding,Rv0705
435,Rv0023,Rv0023,Predicted Binding,Rv0706
436,Rv0023,Rv0023,Predicted Binding,Rv0707
437,Rv0023,Rv0023,Predicted Binding,Rv0708
438,Rv0023,Rv0023,Predicted Binding,Rv0709
439,Rv0023,Rv0023,Predicted Binding,Rv0710
440,Rv0023,Rv0023,Predicted Binding,Rv0711
441,Rv0023,Rv0023,Predicted Binding,Rv0714
442,Rv0023,Rv0023,Predicted Binding,Rv0715
443,Rv0023,Rv0023,Predicted Binding,Rv0716
444,Rv0023,Rv0023,Predicted Binding,Rv0717
445,Rv0023,Rv0023,Predicted Binding,Rv0718
446,Rv0023,Rv0023,Predicted Binding,Rv0719
447,Rv0023,Rv0023,Predicted Binding,Rv0720
448,Rv0023,Rv0023,Predicted Binding,Rv0721
449,Rv0023,Rv0023,Predicted Binding,Rv0722
450,Rv0023,Rv0023,Predicted Binding,Rv0728c
451,Rv0023,Rv0023,Predicted Binding,Rv0729
452,Rv0023,Rv0023,Predicted Binding,Rv0730
453,Rv0023,Rv0023,Predicted Binding,Rv0731c
454,Rv0023,Rv0023,Predicted Binding,Rv0732
455,Rv0023,Rv0023,Predicted Binding,Rv0733
456,Rv0023,Rv0023,Predicted Binding,Rv0734
457,Rv0023,Rv0023,Predicted Binding,Rv0739
458,Rv0023,Rv0023,Predicted Binding,Rv0740
459,Rv0023,Rv0023,Predicted Binding,Rv0742
460,Rv0023,Rv0023,Predicted Binding,Rv0743c
461,Rv0023,Rv0023,Predicted Binding,Rv0749A
462,Rv0023,Rv0023,Predicted Binding,Rv0750
463,Rv0023,Rv0023,ChipSeq,Rv0755c
464,Rv0023,Rv0023,Predicted Binding,Rv0759c
465,Rv0023,Rv0023,Predicted Binding,Rv0760c
466,Rv0023,Rv0023,Predicted Binding,Rv0761c
467,Rv0023,Rv0023,Predicted Binding,Rv0762c
468,Rv0023,Rv0023,Predicted Binding,Rv0763c
469,Rv0023,Rv0023,Predicted Binding,Rv0764c
470,Rv0023,Rv0023,Predicted Binding,Rv0765c
471,Rv0023,Rv0023,Predicted Binding,Rv0766c
472,Rv0023,Rv0023,Predicted Binding,Rv0777
473,Rv0023,Rv0023,Predicted Binding,Rv0778
474,Rv0023,Rv0023,Predicted Binding,Rv0779c
475,Rv0023,Rv0023,Predicted Binding,Rv0780
476,Rv0023,Rv0023,Predicted Binding,Rv0783c
477,Rv0023,Rv0023,Predicted Binding,Rv0786c
478,Rv0023,Rv0023,Predicted Binding,Rv0787
479,Rv0023,Rv0023,Predicted Binding,Rv0787A
480,Rv0023,Rv0023,Predicted Binding,Rv0788
481,Rv0023,Rv0023,ChipSeq,Rv0789c
482,Rv0023,Rv0023,ChipSeq,Rv0790c
483,Rv0023,Rv0023,ChipSeq,Rv0791c
484,Rv0023,Rv0023,ChipSeq,Rv0792c
485,Rv0023,Rv0023,Predicted Binding,Rv0808
486,Rv0023,Rv0023,Predicted Binding,Rv0809
487,Rv0023,Rv0023,Predicted Binding,Rv0822c
488,Rv0023,Rv0023,Predicted Binding,Rv0830
489,Rv0023,Rv0023,Predicted Binding,Rv0845
490,Rv0023,Rv0023,Predicted Binding,Rv0867c
491,Rv0023,Rv0023,Predicted Binding,Rv0878c
492,Rv0023,Rv0023,Predicted Binding,Rv0879c
493,Rv0023,Rv0023,Predicted Binding,Rv0887c
494,Rv0023,Rv0023,Predicted Binding,Rv0888
495,Rv0023,Rv0023,Predicted Binding,Rv0890c
496,Rv0023,Rv0023,Predicted Binding,Rv0891c
497,Rv0023,Rv0023,Predicted Binding,Rv0892
498,Rv0023,Rv0023,Predicted Binding,Rv0913c
