All-Genes,Genes in same transcription unit,Accession-1,Left-End-Position
Rv0060,Rv0060 // Rv0059,Rv0060,63909
Rv0061c,Rv0061c,Rv0061c,65012
celA1,celA1,Rv0062,65552
Rv0063,Rv0063,Rv0063,66923
Rv0064,vapC1 // vapB1 // Rv0064,Rv0064,68620
vapB1,vapC1 // vapB1 // Rv0064,Rv0064A,71589
vapC1,vapC1 // vapB1 // Rv0064,Rv0065,71821
icd2,icd2,Rv0066c,72274
Rv0067c,Rv0067c,Rv0067c,74629
Rv0068,Rv0068,Rv0068,75301
sdaA,glyA2 // sdaA,Rv0069c,76237
glyA2,glyA2 // sdaA,Rv0070c,77619
Rv0071,Rv0071,Rv0071,79486
Rv0072,Rv0073 // Rv0072,Rv0072,80624
Rv0073,Rv0073 // Rv0072,Rv0073,81676
Rv0074,Rv0075 // Rv0074,Rv0074,82748
Rv0075,Rv0075 // Rv0074,Rv0075,83996
Rv0076c,Rv0076c,Rv0076c,85183
ethA2,ethA2,Rv0077c,85636
Rv0078,Rv0078,Rv0078,86528
Rv0078A,Rv0078B // Rv0078A,Rv0078A,87208
Rv0078B,Rv0078B // Rv0078A,Rv0078B,87798
Rv0079,Rv0080 // Rv0079,Rv0079,88204
Rv0080,Rv0080 // Rv0079,Rv0080,89022
Rv0081,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0081,89575
Rv0082,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0082,89924
Rv0083,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0083,90400
hycD,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0084,92328
hycP,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0085,93289
hycQ,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0086,93951
hycE,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0087,95414
Rv0088,Rv0088 // hycE // hycQ // hycP // hycD // Rv0083 // Rv0082 // Rv0081,Rv0088,96927
Rv0089,Rv0089,Rv0089,97758
Rv0090,Rv0090,Rv0090,98480
mtn,mtn,Rv0091,99684
ctpA,ctpA,Rv0092,100583
Rv0093c,Rv0093c,Rv0093c,102815
Rv0094c,Rv0094c,Rv0094c,103710
Rv0095c,Rv0095c,Rv0095c,104805
PPE1,nrp // Rv0100 // fadD10 // fcoT // Rv0097 // PPE1,Rv0096,105324
Rv0097,nrp // Rv0100 // fadD10 // fcoT // Rv0097 // PPE1,Rv0097,106734
fcoT,nrp // Rv0100 // fadD10 // fcoT // Rv0097 // PPE1,Rv0098,107600
fadD10,nrp // Rv0100 // fadD10 // fcoT // Rv0097 // PPE1,Rv0099,108156
Rv0100,nrp // Rv0100 // fadD10 // fcoT // Rv0097 // PPE1,Rv0100,109783
nrp,nrp // Rv0100 // fadD10 // fcoT // Rv0097 // PPE1,Rv0101,110001
Rv0102,Rv0102,Rv0102,117714
ctpB,ctpB,Rv0103c,119915
Rv0104,Rv0104,Rv0104,122317
rpmB1,rpmB1,Rv0105c,123980
Rv0106,Rv0106,Rv0106,124374
ctpI,ctpI,Rv0107c,125643
Rv0108c,Rv0108c,Rv0108c,130895
PE_PGRS1,PE_PGRS1,Rv0109,131382
Rv0110,Rv0110,Rv0110,133020
Rv0111,Rv0111,Rv0111,133950
gca,gca,Rv0112,136289
gmhA,hddA // gmhB // gmhA,Rv0113,137319
gmhB,hddA // gmhB // gmhA,Rv0114,137941
hddA,hddA // gmhB // gmhA,Rv0115,138513
ldtA,ldtA,Rv0116c,140267
oxyS,oxyS,Rv0117,141200
oxcA,oxcA,Rv0118c,142128
fadD7,fadD7,Rv0119,144049
fusA2,fusA2,Rv0120c,145627
Rv0121c,Rv0121c,Rv0121c,147908
Rv0122,Rv0123 // Rv0122,Rv0122,148491
Rv0123,Rv0123 // Rv0122,Rv0123,148856
PE_PGRS2,PE_PGRS2,Rv0124,149533
pepA,pepA,Rv0125,151148
treS,mak // treS,Rv0126,152324
mak,mak // treS,Rv0127,154232
Rv0128,Rv0128,Rv0128,155667
fbpC,fbpC,Rv0129c,156578
htdZ,htdZ,Rv0130,157847
fadE1,fadE1,Rv0131c,158315
fgd2,fgd2,Rv0132c,159700
Rv0133,Rv0133,Rv0133,160869
ephF,ephF,Rv0134,161771
Rv0135c,Rv0135c,Rv0135c,162644
cyp138,cyp138,Rv0136,163366
msrA,msrA,Rv0137c,164712
Rv0138,Rv0139 // Rv0138,Rv0138,165323
Rv0139,Rv0139 // Rv0138,Rv0139,165827
Rv0140,Rv0140,Rv0140,166910
Rv0141c,Rv0141c,Rv0141c,167271
Rv0142,Rv0142,Rv0142,167711
Rv0143c,Rv0143c,Rv0143c,168704
Rv0144,Rv0144,Rv0144,170284
Rv0145,Rv0145,Rv0145,171215
Rv0146,Rv0146,Rv0146,172211
Rv0147,Rv0147,Rv0147,173238
Rv0148,Rv0149 // Rv0148,Rv0148,174833
Rv0149,Rv0149 // Rv0148,Rv0149,175700
Rv0150c,Rv0150c,Rv0150c,176665
PE1,PE2 // PE1,Rv0151c,177543
PE2,PE2 // PE1,Rv0152c,179319
ptbB,fadE2 // ptbB,Rv0153c,181155
fadE2,fadE2 // ptbB,Rv0154c,181987
pntAa,pntB // pntAb // pntAa,Rv0155,183622
pntAb,pntB // pntAb // pntAa,Rv0156,184723
pntB,pntB // pntAb // pntAa,Rv0157,185052
Rv0157A,Rv0157A,Rv0157A,186495
Rv0158,Rv0158,Rv0158,186785
PE3,PE3,Rv0159c,187433
PE4,PE4,Rv0160c,188931
Rv0161,Rv0161,Rv0161,190607
adhE1,adhE1,Rv0162c,191984
Rv0163,Rv0163,Rv0163,193117
TB18.5,TB18.5,Rv0164,193626
mce1R,mce1R,Rv0165c,194144
fadD5,fadD5,Rv0166,194993
yrbE1A,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0167,196861
yrbE1B,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0168,197660
mce1A,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0169,198534
mce1B,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0170,199895
mce1C,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0171,200932
mce1D,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0172,202476
lprK,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0173,204065
mce1F,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0174,205231
Rv0175,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0175,206814
Rv0176,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0176,207452
Rv0177,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0177,208417
Rv0178,Rv0178 // Rv0177 // Rv0176 // Rv0175 // mce1F // lprK // mce1D // mce1C // mce1B // mce1A // yrbE1B // yrbE1A,Rv0178,208938
lprO,lprO,Rv0179c,209703
Rv0180c,sigG // Rv0181c // Rv0180c,Rv0180c,210892
Rv0181c,sigG // Rv0181c // Rv0180c,Rv0181c,212277
sigG,sigG // Rv0181c // Rv0180c,Rv0182c,213028
Rv0183,Rv0183,Rv0183,214088
Rv0184,Rv0185 // Rv0184,Rv0184,214969
Rv0185,Rv0185 // Rv0184,Rv0185,215715
bglS,bglS,Rv0186,216269
mymT,mymT,Rv0186A,218390
Rv0187,Rv0187,Rv0187,218705
Rv0188,Rv0188,Rv0188,219486
ilvD,ilvD,Rv0189c,219996
ricR,ricR,Rv0190,221871
Rv0191,Rv0192 // Rv0191,Rv0191,222289
Rv0192,Rv0192 // Rv0191,Rv0192,223564
Rv0192A,Rv0192A,Rv0192A,223607
Rv0193c,Rv0193c,Rv0193c,224724
Rv0194,Rv0194,Rv0194,226878
Rv0195,Rv0195,Rv0195,230899
Rv0196,Rv0197 // Rv0196,Rv0196,231647
Rv0197,Rv0197 // Rv0196,Rv0197,232231
zmp1,zmp1,Rv0198c,234516
Rv0199,Rv0200 // Rv0199,Rv0199,236550
Rv0200,Rv0200 // Rv0199,Rv0200,237206
Rv0201c,mmpL11 // Rv0201c,Rv0201c,237892
mmpL11,mmpL11 // Rv0201c,Rv0202c,238392
Rv0203,Rv0203,Rv0203,241514
Rv0204c,Rv0204c,Rv0204c,241976
Rv0205,Rv0205,Rv0205,243384
mmpL3,mmpL3,Rv0206c,244484
Rv0207c,Rv0208c // Rv0207c,Rv0207c,247384
Rv0208c,Rv0208c // Rv0207c,Rv0208c,248115
Rv0209,Rv0210 // Rv0209,Rv0209,249038
Rv0210,Rv0210 // Rv0209,Rv0210,250120
pckA,pckA,Rv0211,251782
nadR,Rv0213c // nadR,Rv0212c,253669
Rv0213c,Rv0213c // nadR,Rv0213c,254637
fadD4,fadD4,Rv0214,256064
fadE3,fadE3,Rv0215c,257783
Rv0216,Rv0216,Rv0216,258913
lipW,lipW,Rv0217c,259923
Rv0218,lipC // Rv0219 // Rv0218,Rv0218,260924
Rv0219,lipC // Rv0219 // Rv0218,Rv0219,262254
lipC,lipC // Rv0219 // Rv0218,Rv0220,262812
Rv0221,echA1 // Rv0221,Rv0221,264067
echA1,echA1 // Rv0221,Rv0222,265507
Rv0223c,Rv0223c,Rv0223c,266301
Rv0224c,Rv0224c,Rv0224c,267863
Rv0225,Rv0225,Rv0225,268663
Rv0226c,Rv0227c // Rv0226c,Rv0226c,269834
Rv0227c,Rv0227c // Rv0226c,Rv0227c,271574
Rv0228,Rv0228,Rv0228,273055
Rv0229c,php // Rv0229c,Rv0229c,274306
php,php // Rv0229c,Rv0230c,274983
fadE4,fadE4,Rv0231,276058
Rv0232,nrdB // Rv0232,Rv0232,277899
nrdB,nrdB // Rv0232,Rv0233,278585
gabD1,aftD // Rv0235c // gabD1,Rv0234c,279605
Rv0235c,aftD // Rv0235c // gabD1,Rv0235c,281166
Rv0236A,Rv0236A,Rv0236A,286898
aftD,aftD // Rv0235c // gabD1,Rv0236c,282649
lpqI,lpqI,Rv0237,287186
Rv0238,Rv0238,Rv0238,288428
vapB24,vapC24 // vapB24,Rv0239,289104
vapC24,vapC24 // vapB24,Rv0240,289345
htdX,fabG4 // htdX,Rv0241c,289812
fabG4,fabG4 // htdX,Rv0242c,290665
fadA2,fadA2,Rv0243,292171
fadE5,fadE5,Rv0244c,293798
Rv0245,Rv0245,Rv0245,296005
Rv0246,Rv0246,Rv0246,296809
Rv0247c,Rv0249c // Rv0248c // Rv0247c,Rv0247c,298116
Rv0248c,Rv0249c // Rv0248c // Rv0247c,Rv0248c,298863
Rv0249c,Rv0249c // Rv0248c // Rv0247c,Rv0249c,300834
Rv0250c,Rv0250c,Rv0250c,301735
hsp,hsp,Rv0251c,302173
nirB,nirD // nirB,Rv0252,302866
nirD,nirD // nirB,Rv0253,305453
cobU,PPE2 // cobQ1 // cobU,Rv0254c,305825
cobQ1,PPE2 // cobQ1 // cobU,Rv0255c,306374
PPE2,PPE2 // cobQ1 // cobU,Rv0256c,307877
Rv0257,Rv0257,Rv0257,309699
Rv0258c,Rv0260c // Rv0259c // Rv0258c,Rv0258c,310294
Rv0259c,Rv0260c // Rv0259c // Rv0258c,Rv0259c,310774
Rv0260c,Rv0260c // Rv0259c // Rv0258c,Rv0260c,311514
narK3,narK3,Rv0261c,312759
aac,Rv0264c // Rv0263c // aac,Rv0262c,314309
Rv0263c,Rv0264c // Rv0263c // aac,Rv0263c,314864
Rv0264c,Rv0264c // Rv0263c // aac,Rv0264c,315783
Rv0265c,oplA // Rv0265c,Rv0265c,316511
oplA,oplA // Rv0265c,Rv0266c,317525
narU,narU,Rv0267,321331
Rv0268c,Rv0268c,Rv0268c,322764
Rv0269c,Rv0269c,Rv0269c,323338
fadD2,fadD2,Rv0270,324567
fadE6,fadE6,Rv0271c,326266
Rv0272c,Rv0273c // Rv0272c,Rv0272c,328575
Rv0273c,Rv0273c // Rv0272c,Rv0273c,329705
Rv0274,Rv0274,Rv0274,330422
Rv0275c,Rv0275c,Rv0275c,330933
Rv0276,Rv0276,Rv0276,331748
vapB25,PE_PGRS3 // vapB25 // vapC25,Rv0277A,333160
vapC25,PE_PGRS3 // vapB25 // vapC25,Rv0277c,332708
PE_PGRS3,PE_PGRS3 // vapB25 // vapC25,Rv0278c,333437
PE_PGRS4,PE_PGRS4,Rv0279c,336560
PPE3,Rv0281 // PPE3,Rv0280,339364
Rv0281,Rv0281 // PPE3,Rv0281,340998
eccA3,PPE4 // PE5 // eccC3 // eccB3 // eccA3,Rv0282,342130
eccB3,PPE4 // PE5 // eccC3 // eccB3 // eccA3,Rv0283,344022
eccC3,PPE4 // PE5 // eccC3 // eccB3 // eccA3,Rv0284,345635
PE5,PPE4 // PE5 // eccC3 // eccB3 // eccA3,Rv0285,349624
PPE4,PPE4 // PE5 // eccC3 // eccB3 // eccA3,Rv0286,349935
esxG,espG3 // esxH // esxG,Rv0287,351525
esxH,espG3 // esxH // esxG,Rv0288,351848
espG3,espG3 // esxH // esxG,Rv0289,352149
eccD3,eccE3 // mycP3 // eccD3,Rv0290,353083
mycP3,eccE3 // mycP3 // eccD3,Rv0291,354498
eccE3,eccE3 // mycP3 // eccD3,Rv0292,355880
Rv0293c,Rv0293c,Rv0293c,356862
tam,tam,Rv0294,358171
Rv0295c,Rv0296c // Rv0295c,Rv0295c,358945
Rv0296c,Rv0296c // Rv0295c,Rv0296c,359758
PE_PGRS5,PE_PGRS5,Rv0297,361334
Rv0298,Rv0299 // Rv0298,Rv0298,363252
Rv0299,Rv0299 // Rv0298,Rv0299,363476
vapB2,vapC2 // vapB2,Rv0300,363826
vapC2,vapC2 // vapB2,Rv0301,364044
Rv0302,Rv0303 // Rv0302,Rv0302,364605
Rv0303,Rv0303 // Rv0302,Rv0303,365234
PPE5,PPE5,Rv0304c,366150
PPE6,PPE6,Rv0305c,372820
Rv0306,Rv0306,Rv0306,375914
Rv0307c,Rv0307c,Rv0307c,376573
Rv0308,Rv0308,Rv0308,377113
Rv0309,Rv0309,Rv0309,377931
Rv0310c,Rv0310c,Rv0310c,378657
Rv0311,Rv0311,Rv0311,379172
Rv0312,Rv0312,Rv0312,380556
Rv0313,Rv0313,Rv0313,382490
Rv0314c,Rv0314c,Rv0314c,382879
Rv0315,Rv0315,Rv0315,383602
Rv0316,Rv0316,Rv0316,384535
glpQ2,glpQ2,Rv0317c,385173
Rv0318c,Rv0318c // glyU,Rv0318c,386305
pcp,pcp,Rv0319,387148
Rv0320,dcd // Rv0320,Rv0320,387888
dcd,dcd // Rv0320,Rv0321,388582
udgA,udgA,Rv0322,389260
Rv0323c,Rv0323c,Rv0323c,390580
Rv0324,Rv0326 // Rv0325 // Rv0324,Rv0324,391352
Rv0325,Rv0326 // Rv0325 // Rv0324,Rv0325,392039
Rv0326,Rv0326 // Rv0325 // Rv0324,Rv0326,392273
cyp135A1,cyp135A1,Rv0327c,392696
Rv0328,Rv0328,Rv0328,394111
Rv0329c,Rv0330c // Rv0329c,Rv0329c,394694
Rv0330c,Rv0330c // Rv0329c,Rv0330c,395347
Rv0331,Rv0331,Rv0331,396201
Rv0332,rmlA // Rv0333 // Rv0332,Rv0332,397442
Rv0333,rmlA // Rv0333 // Rv0332,Rv0333,398254
rmlA,rmlA // Rv0333 // Rv0332,Rv0334,398658
PE6,PE6,Rv0335c,399535
Rv0336,Rv0336,Rv0336,400192
aspC,Rv0338c // aspC,Rv0337c,401873
Rv0338c,Rv0338c // aspC,Rv0338c,403193
Rv0339c,Rv0339c,Rv0339c,405950
Rv0340,Rv0340,Rv0340,408634
iniB,iniC // iniA // iniB,Rv0341,409362
iniA,iniC // iniA // iniB,Rv0342,410838
iniC,iniC // iniA // iniB,Rv0343,412757
lpqJ,lpqJ,Rv0344c,414381
Rv0345,Rv0345,Rv0345,415050
ansP2,ansP2,Rv0346c,415502
Rv0347,Rv0349 // Rv0348 // Rv0347,Rv0347,417304
Rv0348,Rv0349 // Rv0348 // Rv0347,Rv0348,418293
Rv0349,Rv0349 // Rv0348 // Rv0347,Rv0349,418949
dnaK,hspR // dnaJ1 // grpE // dnaK,Rv0350,419835
grpE,hspR // dnaJ1 // grpE // dnaK,Rv0351,421709
dnaJ1,hspR // dnaJ1 // grpE // dnaK,Rv0352,422452
hspR,hspR // dnaJ1 // grpE // dnaK,Rv0353,423639
PPE7,PPE7,Rv0354c,424269
PPE8,PPE8,Rv0355c,424777
Rv0356c,purA // Rv0356c,Rv0356c,434830
purA,purA // Rv0356c,Rv0357c,435471
Rv0358,Rv0359 // Rv0358,Rv0358,436860
Rv0359,Rv0359 // Rv0358,Rv0359,437518
Rv0360c,Rv0360c,Rv0360c,438302
Rv0361,Rv0361,Rv0361,438822
mgtE,mgtE,Rv0362,439871
fba,fba,Rv0363c,441265
Rv0364,Rv0364,Rv0364,442395
Rv0365c,Rv0367c // Rv0366c // Rv0365c,Rv0365c,443067
Rv0366c,Rv0367c // Rv0366c // Rv0365c,Rv0366c,444222
Rv0367c,Rv0367c // Rv0366c // Rv0365c,Rv0367c,444844
Rv0368c,Rv0369c // Rv0368c,Rv0368c,445314
Rv0369c,Rv0369c // Rv0368c,Rv0369c,446531
Rv0370c,Rv0375c // Rv0374c // Rv0373c // Rv0372c // Rv0371c // Rv0370c,Rv0370c,447147
Rv0371c,Rv0375c // Rv0374c // Rv0373c // Rv0372c // Rv0371c // Rv0370c,Rv0371c,448040
Rv0372c,Rv0375c // Rv0374c // Rv0373c // Rv0372c // Rv0371c // Rv0370c,Rv0372c,448630
Rv0373c,Rv0375c // Rv0374c // Rv0373c // Rv0372c // Rv0371c // Rv0370c,Rv0373c,449404
Rv0374c,Rv0375c // Rv0374c // Rv0373c // Rv0372c // Rv0371c // Rv0370c,Rv0374c,451800
Rv0375c,Rv0375c // Rv0374c // Rv0373c // Rv0372c // Rv0371c // Rv0370c,Rv0375c,452294
Rv0376c,Rv0376c,Rv0376c,453230
Rv0377,Rv0377,Rv0377,454421
Rv0378,Rv0378,Rv0378,455637
secE2,secE2,Rv0379,455977
Rv0380c,Rv0380c,Rv0380c,456268
Rv0381c,pyrE // Rv0381c,Rv0381c,456915
pyrE,pyrE // Rv0381c,Rv0382c,457841
ttfA,ttfA,Rv0383c,458461
clpB,clpB,Rv0384c,459456
Rv0385,Rv0385,Rv0385,462135
Rv0386,Rv0386,Rv0386,463411
Rv0387c,Rv0387c,Rv0387c,466672
PPE9,PPE9,Rv0388c,467459
purT,metZ // Rv0390 // purT,Rv0389,468335
Rv0390,metZ // Rv0390 // purT,Rv0390,469591
metZ,metZ // Rv0390 // purT,Rv0391,470010
ndhA,ndhA,Rv0392c,471227
Rv0393,Rv0393,Rv0393,472781
Rv0394c,Rv0394c,Rv0394c,474122
Rv0395,Rv0396 // Rv0395,Rv0395,474940
Rv0396,Rv0396 // Rv0395,Rv0396,475350
Rv0397,Rv0397,Rv0397,475816
Rv0397A,Rv0397A,Rv0397A,476394
Rv0398c,fadE7 // lpqK // Rv0398c,Rv0398c,476679
lpqK,fadE7 // lpqK // Rv0398c,Rv0399c,477327
fadE7,fadE7 // lpqK // Rv0398c,Rv0400c,478566
Rv0401,Rv0401,Rv0401,479789
mmpL1,mmpS1 // mmpL1,Rv0402c,480355
mmpS1,mmpS1 // mmpL1,Rv0403c,483228
fadD30,pks6 // fadD30,Rv0404,483977
pks6,pks6 // fadD30,Rv0405,485731
Rv0406c,Rv0406c,Rv0406c,489887
fgd1,ackA // pta // fgd1,Rv0407,490783
pta,ackA // pta // fgd1,Rv0408,491786
ackA,ackA // pta // fgd1,Rv0409,493851
pknG,Rv0412c // glnH // pknG,Rv0410c,495062
glnH,Rv0412c // glnH // pknG,Rv0411c,497314
Rv0412c,Rv0412c // glnH // pknG,Rv0412c,498300
mutT3,mutT3,Rv0413,499713
thiE,thiE,Rv0414c,500350
thiO,thiG // thiS // thiO,Rv0415,501148
thiS,thiG // thiS // thiO,Rv0416,502167
thiG,thiG // thiS // thiO,Rv0417,502366
lpqL,lpqL,Rv0418,503496
lpqM,lpqM,Rv0419,505086
Rv0420c,Rv0420c,Rv0420c,506561
Rv0421c,thiC // thiD // Rv0421c,Rv0421c,507132
thiD,thiC // thiD // Rv0421c,Rv0422c,507758
thiC,thiC // thiD // Rv0421c,Rv0423c,508582
Rv0424c,Rv0424c,Rv0424c,510377
ctpH,ctpH,Rv0425c,510702
Rv0426c,Rv0426c,Rv0426c,515373
xthA,def // Rv0428c // xthA,Rv0427c,516017
Rv0428c,def // Rv0428c // xthA,Rv0428c,516895
def,def // Rv0428c // xthA,Rv0429c,517803
Rv0430,Rv0433 // sodC // Rv0431 // Rv0430,Rv0430,518733
Rv0431,Rv0433 // sodC // Rv0431 // Rv0430,Rv0431,519073
sodC,Rv0433 // sodC // Rv0431 // Rv0430,Rv0432,519600
Rv0433,Rv0433 // sodC // Rv0431 // Rv0430,Rv0433,520324
Rv0434,Rv0434,Rv0434,521514
Rv0435c,psd // pssA // Rv0435c,Rv0435c,522347
pssA,psd // pssA // Rv0435c,Rv0436c,524530
psd,psd // pssA // Rv0435c,Rv0437c,525387
moeA2,Rv0439c // moeA2,Rv0438c,526143
Rv0439c,Rv0439c // moeA2,Rv0439c,527379
groEL2,groEL2,Rv0440,528608
Rv0441c,PPE10 // Rv0441c,Rv0441c,530296
PPE10,PPE10 // Rv0441c,Rv0442c,530751
Rv0443,Rv0443,Rv0443,532396
rskA,rskA,Rv0444c,533091
sigK,sigK,Rv0445c,533833
Rv0446c,Rv0448c // ufaA1 // Rv0446c,Rv0446c,534445
ufaA1,Rv0448c // ufaA1 // Rv0446c,Rv0447c,535224
Rv0448c,Rv0448c // ufaA1 // Rv0446c,Rv0448c,536504
Rv0449c,mmpS4 // mmpL4 // Rv0449c,Rv0449c,537229
mmpL4,mmpS4 // mmpL4 // Rv0449c,Rv0450c,538588
mmpS4,mmpS4 // mmpL4 // Rv0449c,Rv0451c,541488
Rv0452,Rv0452,Rv0452,542142
PPE11,PPE11,Rv0453,543174
Rv0454,Rv0454,Rv0454,544835
Rv0455c,Rv0455c,Rv0455c,545375
mazF1,mazE1 // mazF1,Rv0456A,547076
mazE1,mazE1 // mazF1,Rv0456B,547344
echA2,echA2,Rv0456c,545889
Rv0457c,Rv0457c,Rv0457c,547586
Rv0458,Rv0459 // Rv0458,Rv0458,549675
Rv0459,Rv0459 // Rv0458,Rv0459,551198
Rv0460,Rv0461 // Rv0460,Rv0460,551749
Rv0461,Rv0461 // Rv0460,Rv0461,552026
lpdC,Rv0463 // lpdC,Rv0462,552614
Rv0463,Rv0463 // lpdC,Rv0463,554016
Rv0464c,Rv0465c // Rv0464c,Rv0464c,554313
Rv0465c,Rv0465c // Rv0464c,Rv0465c,554882
Rv0466,Rv0466,Rv0466,556458
icl1,icl1,Rv0467,557527
fadB2,fadB2,Rv0468,558895
umaA,umaA,Rv0469,559888
Rv0470A,Rv0472c // Rv0471c // Rv0470A,Rv0470A,561854
pcaA,pcaA,Rv0470c,560848
Rv0471c,Rv0472c // Rv0471c // Rv0470A,Rv0471c,562225
Rv0472c,Rv0472c // Rv0471c // Rv0470A,Rv0472c,562723
Rv0473,Rv0473,Rv0473,563564
Rv0474,Rv0474,Rv0474,565021
hbhA,hbhA,Rv0475,565797
Rv0476,deoC // Rv0477 // Rv0476,Rv0476,566508
Rv0477,deoC // Rv0477 // Rv0476,Rv0477,566776
deoC,deoC // Rv0477 // Rv0476,Rv0478,567222
