locus,gene_weight,gene_name,gene_product,COG,operon,regulator,pyrR,link
Rv1579c,0.1195203782,Rv1579c,phage protein,No COG annotation,Op1005,"Rv0023,Rv0328,Rv1353c,Rv2011c,Rv2034",False,https://mycobrowser.epfl.ch/genes/Rv1579c
Rv1573,0.1158699482,Rv1573,phage protein,No COG annotation,Op1001,whiB4,False,https://mycobrowser.epfl.ch/genes/Rv1573
Rv1581c,0.1149171731,Rv1581c,phage protein,No COG annotation,Op1005,"Rv0023,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv1581c
Rv1574,0.1146273346,Rv1574,phage protein,No COG annotation,Op1002,,False,https://mycobrowser.epfl.ch/genes/Rv1574
Rv1762c,0.11190950520000001,Rv1762c,hypothetical protein,Function unknown,Op1102,Rv1776c,False,https://mycobrowser.epfl.ch/genes/Rv1762c
Rv2017,0.1052560334,Rv2017,transcriptional regulator,Amino acid transport and metabolism,Op1268,"Rv0023,Rv0047c,csoR,Rv1776c,Rv2017,kstR",False,https://mycobrowser.epfl.ch/genes/Rv2017
Rv1575,0.10431219580000001,Rv1575,phage protein,No COG annotation,Op1002,trcR,False,https://mycobrowser.epfl.ch/genes/Rv1575
Rv1761c,0.0936613609,Rv1761c,hypothetical protein,Function unknown,Op1102,"Rv0302,Rv1776c,espR",False,https://mycobrowser.epfl.ch/genes/Rv1761c
Rv2819c,0.0908707494,Rv2819c,CRISPR type III-associated RAMP protein Csm5,"Replication, recombination and repair",Op1779,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0324,trcR,Rv1255c,Rv1473A,Rv1776c,Rv2011c,Rv2034,devR,Rv3249c,kstR",False,https://mycobrowser.epfl.ch/genes/Rv2819c
Rv3408,0.0880003485,vapC47,ribonuclease VapC47,Function unknown,Op2135,"trcR,Rv1816,Rv2887,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3408
Rv2659c,0.0832422289,Rv2659c,prophage integrase,"Replication, recombination and repair",Op1675,"whiB5,Rv0081,trcR,Rv1353c,Rv1816,lysG,sigH,lsr2,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2659c
Rv2818c,0.0823651299,Rv2818c,CRISPR-associated protein Csm6,Function unknown,Op1778,"Rv0047c,Rv0324,Rv0678,Rv1255c,Rv1473A,Rv1776c,Rv2034,devR,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv2818c
Rv0071,0.07927204730000001,Rv0071,maturase,"Replication, recombination and repair",Op49,"whiB5,Rv0330c,Rv0691c,csoR,sigI,Rv1353c,Rv2324,Rv2720 ,kstR,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0071
Rv3407,0.07354262510000001,vapB47,antitoxin VapB47,"Cell cycle control, cell division, chromosome partitioning",Op2135,"trcR,Rv1816,Rv2887,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3407
Rv1759c,0.0701504931,wag22,PE-PGRS family protein Wag22,No COG annotation,Op1100,"Rv0023,ssb,Rv0302,Rv0348,hspR,Rv0472c,Rv0560c,Rv0653c,sigL,Rv0818,csoR,Rv1167c,Rv1186c,Rv1353c,marR,vapB11,Rv1773c,Rv1816,mbcA,Rv2242,hrcA,Rv2478c,vapB40,Rv2887,Rv3167c,Rv3249c,groEL1,Rv3736,tcrX,Rv3840",False,https://mycobrowser.epfl.ch/genes/Rv1759c
Rv2159c,0.069546698,Rv2159c,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Op1349,"Rv0302,csoR,Rv1353c,Rv2011c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv2159c
Rv2478c,0.06599889490000001,Rv2478c,hypothetical protein,"Replication, recombination and repair",Op1568,"Rv0081,csoR,Rv1353c,Rv3066,Rv3488,espR",False,https://mycobrowser.epfl.ch/genes/Rv2478c
Rv2658c,0.0656301706,Rv2658c,prophage protein,No COG annotation,Op1675,"Rv0081,trcR,Rv1816,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv2658c
Rv3323c,-0.06492870270000001,moaX,MoaD-MoaE fusion protein MoaX,Coenzyme transport and metabolism,Op2079,"Rv0678,marR,Rv1776c,mbcA,Rv2021c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3323c
Rv0826,-0.0708894172,Rv0826,hypothetical protein,Function unknown,Op531,"Rv0302,mprA,mprB,Rv1049,sigI,Rv2011c,Rv2034,Rv2779c",False,https://mycobrowser.epfl.ch/genes/Rv0826
Rv2527,-0.0718174327,vapC17,ribonuclease VapC17,Function unknown,Op1598,"Rv0047c,Rv0081,Rv0767c,trcR,Rv1353c,whiA,Rv1719,Rv2011c,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv2527
Rv3322c,-0.0764186256,Rv3322c,methyltransferase,"Translation, ribosomal structure and biogenesis",Op2079,"Rv0023,Rv0081,Rv0302,Rv1776c,Rv2021c,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv3322c
Rv3473c,-0.09279916490000001,bpoA,peroxidase BpoA,Lipid transport and metabolism,Op2175,"Rv0023,Rv0135c",False,https://mycobrowser.epfl.ch/genes/Rv3473c
Rv3366,-0.1007360593,spoU,tRNA/rRNA methylase SpoU,"Translation, ribosomal structure and biogenesis",Op2108,"Rv0494,mbcA",False,https://mycobrowser.epfl.ch/genes/Rv3366
Rv3831,-0.1030621033,Rv3831,hypothetical protein,Function unknown,Op2397,"Rv0023,Rv0238,Rv0260c,Rv0324,Rv0678,Rv1358,Rv2250c,Rv2884,sigF,whiB3,kstR,crp,espR",False,https://mycobrowser.epfl.ch/genes/Rv3831
Rv3324c,-0.10976048270000001,moaC3,cyclic pyranopterin monophosphate synthase accessory protein,Coenzyme transport and metabolism,Op2079,"Rv0023,Rv0081,mbcA",False,https://mycobrowser.epfl.ch/genes/Rv3324c
Rv3143,-0.1210040052,Rv3143,response regulator,Signal transduction mechanisms,Op1969,"Rv0324,Rv0767c,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv3143
Rv2108,-0.12296237060000001,PPE36,PPE family protein PPE36,Cell motility,Op1318,"Rv0302,Rv0324,mprA,mprB,Rv1353c,Rv1776c,Rv2021c",False,https://mycobrowser.epfl.ch/genes/Rv2108
Rv3829c,-0.1232832964,Rv3829c,dehydrogenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2395,"Rv0047c,Rv0081,Rv0324,Rv0678,trcR,Rv1353c,Rv2034,kstR",False,https://mycobrowser.epfl.ch/genes/Rv3829c
Rv2353c,-0.1272731883,PPE39,PPE family protein PPE39,No COG annotation,Op1487,"Rv0023,Rv0081,Rv0135c,Rv1353c,sirR",False,https://mycobrowser.epfl.ch/genes/Rv2353c
Rv2107,-0.13236258180000002,PE22,PE family protein PE22,Lipid transport and metabolism,Op1317,"Rv0324,Rv0678,mprA,mprB,Rv1719",False,https://mycobrowser.epfl.ch/genes/Rv2107
