locus,gene_weight,gene_name,gene_product,COG,operon,regulator,whiB1,link
Rv0717,0.09994303930000001,rpsN1,30S ribosomal protein S14,"Translation, ribosomal structure and biogenesis",Op462,"Rv0023,Rv0135c,Rv0302,csoR,Rv1049,Rv1353c,Rv1473A,cmtR,devR,whiB1,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0717
Rv0716,0.0993292545,rplE,50S ribosomal protein L5,"Translation, ribosomal structure and biogenesis",Op462,"Rv0023,Rv0135c,csoR,Rv1049,Rv1353c,Rv1473A,devR,whiB1,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0716
Rv0720,0.0978567038,rplR,50S ribosomal protein L18,"Translation, ribosomal structure and biogenesis",Op463,"Rv0023,Rv0135c,Rv0302,Rv0691c,csoR,Rv1049,Rv1353c,Rv1473A,Rv1816,cmtR,Rv2011c,devR,whiB1,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0720
Rv0721,0.09568254970000001,rpsE,30S ribosomal protein S5,"Translation, ribosomal structure and biogenesis",Op463,"Rv0023,Rv0081,Rv0135c,Rv0302,csoR,Rv1049,Rv1353c,Rv1473A,Rv1816,cmtR,Rv2011c,Rv2034,devR,whiB1,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0721
Rv0700,0.0933322354,rpsJ,30S ribosomal protein S10,"Translation, ribosomal structure and biogenesis",Op457,"Rv0081,trcR,Rv1049,sigE,whiA,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv0700
Rv0715,0.0864334147,rplX,50S ribosomal protein L24,"Translation, ribosomal structure and biogenesis",Op462,"Rv0023,Rv0135c,Rv0494,csoR,Rv1353c,Rv1816,whiB1",True,https://mycobrowser.epfl.ch/genes/Rv0715
Rv0668,0.0857102093,rpoC,DNA-directed RNA polymerase subunit beta',Transcription,Op437,"Rv0302,csoR,Rv1473A,Rv1776c,Rv2250c,Rv2887,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0668
Rv0719,0.084584803,rplF,50S ribosomal protein L6,"Translation, ribosomal structure and biogenesis",Op463,"Rv0023,Rv0047c,Rv0135c,Rv0302,csoR,Rv1049,Rv1353c,Rv1473A,cmtR,Rv2011c,devR,whiB1,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0719
Rv0723,0.0810803454,rplO,50S ribosomal protein L15,"Translation, ribosomal structure and biogenesis",Op463,"Rv0047c,Rv0135c,Rv0302,csoR,Rv1049,Rv1353c,Rv1473A,cmtR,devR,whiB1,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0723
Rv0652,0.0803677359,rplL,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",Op427,"csoR,marR,whiA,Rv2011c,Rv2324",False,https://mycobrowser.epfl.ch/genes/Rv0652
Rv3459c,0.079887528,rpsK,30S ribosomal protein S11,"Translation, ribosomal structure and biogenesis",Op2166,"csoR,Rv1353c,Rv1719,Rv1816,Rv2011c",False,https://mycobrowser.epfl.ch/genes/Rv3459c
Rv0667,0.0793763115,rpoB,DNA-directed RNA polymerase subunit beta,Transcription,Op436,"Rv0023,Rv0047c,Rv0081,Rv0302,Rv0494,tcrA,Rv1353c,Rv1776c,Rv1816,Rv2034,Rv2887,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0667
Rv3460c,0.0773947022,rpsM,30S ribosomal protein S13,"Translation, ribosomal structure and biogenesis",Op2166,"csoR,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv3460c
Rv3457c,0.07576216770000001,rpoA,DNA-directed RNA polymerase subunit alpha,Transcription,Op2165,"Rv0081,iniR,csoR,Rv1353c,Rv1719,Rv1816,Rv2011c,Rv2250c,devR,Rv3249c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv3457c
Rv3458c,0.0751991654,rpsD,30S ribosomal protein S4,"Translation, ribosomal structure and biogenesis",Op2166,"Rv0081,trcR,Rv1353c,Rv1719,Rv1816,Rv2011c,devR",False,https://mycobrowser.epfl.ch/genes/Rv3458c
Rv3920c,0.0742156717,Rv3920c,hypothetical protein,Function unknown,Op2448,"Rv0047c,Rv0081,Rv0302,csoR,Rv1353c,cmr,Rv1719,Rv2250c,devR,Rv3488,kstR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3920c
Rv3456c,0.0733037213,rplQ,50S ribosomal protein L17,"Translation, ribosomal structure and biogenesis",Op2165,"Rv0081,csoR,Rv1353c,Rv1719,Rv1816,Rv2011c,Rv2250c,devR,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv3456c
Rv0651,0.0732939189,rplJ,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",Op427,"senX3,regX3,Rv2011c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv0651
Rv0714,0.0709053065,rplN,50S ribosomal protein L14,"Translation, ribosomal structure and biogenesis",Op462,"Rv0023,Rv1473A,lrpA",False,https://mycobrowser.epfl.ch/genes/Rv0714
Rv3921c,0.0687976929,Rv3921c,membrane protein insertase YidC,"Intracellular trafficking, secretion, and vesicular transport",Op2449,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,csoR,trcR,Rv1049,Rv1353c,Rv1776c,Rv1816,blaI,Rv2011c,Rv2034,Rv2250c,Rv3050c,Rv3066,devR,Rv3249c,kstR,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv3921c
