Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	project	condition	reference_condition
ERX1818316	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749124;ERR1749125	ERP020415	PRJEB18483	396863	ERS1465363	SAMEA20436418	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334720	7437427								THP-1	ctrl_D	ctrl_B
ERX1818317	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749126;ERR1749127	ERP020415	PRJEB18483	396863	ERS1465364	SAMEA20437168	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334721	7437428								THP-1	ctrl_D	ctrl_B
ERX1818321	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749133	ERP020415	PRJEB18483	396863	ERS1465368	SAMEA20440168	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334725	7437432								THP-1	00h_THP_A	ctrl_B
ERX1818322	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749134;ERR1749135	ERP020415	PRJEB18483	396863	ERS1465369	SAMEA20440918	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334726	7437433								THP-1	00h_THP_B	ctrl_B
ERX1818323	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749136;ERR1749137	ERP020415	PRJEB18483	396863	ERS1465370	SAMEA20441668	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334727	7437434								THP-1	00h_THP_B	ctrl_B
ERX1818327	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749143	ERP020415	PRJEB18483	396863	ERS1465374	SAMEA20444668	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334731	7437438								THP-1	00h_THP_C	ctrl_B
ERX1818328	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749144;ERR1749145	ERP020415	PRJEB18483	396863	ERS1465375	SAMEA20445418	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334732	7437439								THP-1	00h_THP_C	ctrl_B
ERX1818329	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749146;ERR1749147	ERP020415	PRJEB18483	396863	ERS1465376	SAMEA20446168	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334733	7437440								THP-1	24h_THP_A_enriched	ctrl_B
ERX1941435	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880934	ERP022074	PRJEB19976	400764	ERS1599694	SAMEA103910526	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442125	7573254								THP-1	24h_THP_B_enriched	ctrl_B
ERX1941436	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880935	ERP022074	PRJEB19976	400764	ERS1599695	SAMEA103910527	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442126	7573255								THP-1	24h_THP_B_enriched	ctrl_B
ERX1941437	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880936	ERP022074	PRJEB19976	400764	ERS1599696	SAMEA103910528	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442127	7573256								THP-1	24h_THP_C_enriched	ctrl_B
ERX1941438	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880937	ERP022074	PRJEB19976	400764	ERS1599697	SAMEA103910529	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442128	7573257								THP-1	24h_THP_C_enriched	ctrl_B
ERX1941439	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880938	ERP022074	PRJEB19976	400764	ERS1599698	SAMEA103910530	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442129	7573258								THP-1	24h_THP_A	ctrl_B
ERX1941440	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880939	ERP022074	PRJEB19976	400764	ERS1599699	SAMEA103910531	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442130	7573259								THP-1	24h_THP_B	ctrl_B
ERX1941441	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880940	ERP022074	PRJEB19976	400764	ERS1599700	SAMEA103910532	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442131	7573260								THP-1	24h_THP_B	ctrl_B
ERX1941442	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880941	ERP022074	PRJEB19976	400764	ERS1599701	SAMEA103910533	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442132	7573261								THP-1	24h_THP_C	ctrl_B
ERX1941443	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880942	ERP022074	PRJEB19976	400764	ERS1599702	SAMEA103910534	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442133	7573262								THP-1	24h_THP_C	ctrl_B
ERX1941444	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880943	ERP022074	PRJEB19976	400764	ERS1599703	SAMEA103910535	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442134	7573263								THP-1	48h_THP_A_enriched	ctrl_B
ERX1941445	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880944	ERP022074	PRJEB19976	400764	ERS1599704	SAMEA103910536	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442135	7573264								THP-1	48h_THP_B_enriched	ctrl_B
ERX1941446	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880945	ERP022074	PRJEB19976	400764	ERS1599705	SAMEA103910537	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442136	7573265								THP-1	48h_THP_B_enriched	ctrl_B
ERX1941447	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880946	ERP022074	PRJEB19976	400764	ERS1599706	SAMEA103910538	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442137	7573266								THP-1	48h_THP_C_enriched	ctrl_B
ERX1941448	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880947	ERP022074	PRJEB19976	400764	ERS1599707	SAMEA103910539	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442138	7573267								THP-1	48h_THP_C_enriched	ctrl_B
ERX1941449	2017-08-30 10:30:28	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1880948	ERP022074	PRJEB19976	400764	ERS1599708	SAMEA103910540	ERA845376	RNA-Seq	cDNA	TRANSCRIPTOMIC		The Francis Crick Institute, Mill Hill Laboratory	0	0	4442139	7573268								THP-1	48h_THP_A	ctrl_B
ERX2161003	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103717	ERP067363	PRJEB65014	401325	ERS1884646	SAMEA104225628	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457308	7602703				H37Rv	pool of mixed wildtype and del_ysG (1985c)			THP-1	48h_THP_B	ctrl_B
ERX2161004	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103718	ERP067363	PRJEB65014	401325	ERS1884647	SAMEA104225629	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457309	7602704				H37Rv	wild type genotype			THP-1	48h_THP_B	ctrl_B
ERX2161005	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103719	ERP067363	PRJEB65014	401325	ERS1884648	SAMEA104225630	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457310	7602705				H37Rv	del_ysG (1985c)			THP-1	48h_THP_C	ctrl_B
ERX2161006	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103720	ERP067363	PRJEB65014	401325	ERS1884649	SAMEA104225631	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457311	7602706				H37Rv	del_ysG (1985c)			THP-1	48h_THP_C	ctrl_B
ERX2161007	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103721	ERP067363	PRJEB65014	401325	ERS1884650	SAMEA104225632	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457312	7602707				H37Rv	del_ysG (1985c)			THP-1	04h_THP_A_enriched	ctrl_B
ERX2161008	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103722	ERP067363	PRJEB65014	401325	ERS1884651	SAMEA104225633	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457313	7602708				H37Rv	wild type genotype			THP-1	04h_THP_B_enriched	ctrl_B
ERX2161009	2017-09-04 08:28:19	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina MiSeq	ERR2103723	ERP067363	PRJEB65014	401325	ERS1884652	SAMEA104225634	ERA1038863	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	500	100	4457314	7602709				H37Rv	wild type genotype			THP-1	04h_THP_B_enriched	ctrl_B
ERX2351092	2018-02-13 07:58:42	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR2299755	ERP105223	PRJEB23469	428826	ERS2200165	SAMEA104588883	ERA1209399	RNA-Seq	unspecified	TRANSCRIPTOMIC		SCHOOL OF VETERINARY MEDICINE	0	0	5095215	8524028								THP-1	04h_THP_C_enriched	ctrl_B
ERX2351093	2018-02-13 07:58:42	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR2299756	ERP105223	PRJEB23469	428826	ERS2200166	SAMEA104588884	ERA1209399	RNA-Seq	unspecified	TRANSCRIPTOMIC		SCHOOL OF VETERINARY MEDICINE	0	0	5095216	8524029								THP-1	04h_THP_C_enriched	ctrl_B
ERX2351094	2018-02-13 07:58:42	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR2299757	ERP105223	PRJEB23469	428826	ERS2200167	SAMEA104588885	ERA1209399	RNA-Seq	unspecified	TRANSCRIPTOMIC		SCHOOL OF VETERINARY MEDICINE	0	0	5095217	8524030								THP-1	04h_THP_A	ctrl_B
