locus,gene_weight,gene_name,gene_product,COG,operon,regulator,phoP,link
Rv3822,0.1065805546,Rv3822,hypothetical protein,Cell motility,Op2391,"Rv0135c,Rv0678,sigL,phoP,trcR,Rv1353c,marR,Rv1556,Rv2250c,Rv2887,sigH,Rv3488,lsr2,whiB4,espR",True,https://mycobrowser.epfl.ch/genes/Rv3822
Rv2329c,0.1047249709,narK1,nitrate/nitrite transporter,Inorganic ion transport and metabolism,Op1467,"whiB5,Rv0023,Rv0081,phoP,trcR,Rv1353c,lysG,Rv2250c,lsr2,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv2329c
Rv3767c,0.1006171949,Rv3767c,S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2361,"Rv0023,Rv0081,Rv0324,phoP,csoR,mprA,mprB,Rv1353c,Rv1816,Rv2324,Rv2989,devR,Rv3249c,whiB4,Rv3830c,prpR",True,https://mycobrowser.epfl.ch/genes/Rv3767c
Rv3686c,0.0977178086,Rv3686c,hypothetical protein,No COG annotation,Op2301,"Rv0023,Rv0081,phoP,trcR,Rv1049,whiA,cmr,Rv2034,Rv3173c,whiB3,crp,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv3686c
Rv1361c,0.0968741354,PPE19,PPE family protein PPE19,Cell motility,Op882,"Rv0324,Rv0465c,Rv0678,mprA,mprB,Rv1255c,Rv1353c,Rv2011c,Rv2021c,mtrA,kstR,lsr2,whiB4,tcrX",False,https://mycobrowser.epfl.ch/genes/Rv1361c
Rv2331A,0.09338238500000001,Rv2331A,hypothetical protein,Inorganic ion transport and metabolism,Op1470,"Rv0081,Rv0324,hspR,Rv0576,tcrA,Rv0678,Rv0691c,phoP,Rv0880,trcR,Rv1353c,Rv2011c,Rv3058c,devR,sigH,whiB2,whiB4,sigM",True,https://mycobrowser.epfl.ch/genes/Rv2331A
Rv3416,0.08941198060000001,whiB3,redox-responsive transcriptional regulator WhiB3,Transcription,Op2140,"Rv0023,Rv0047c,Rv0081,Rv0273c,phoP,Rv1049,whiA,mbcA,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv3416
Rv2288,0.0833614594,Rv2288,hypothetical protein,No COG annotation,Op1436,"Rv0324,Rv0691c",False,https://mycobrowser.epfl.ch/genes/Rv2288
Rv3706c,0.0830619824,Rv3706c,hypothetical protein,No COG annotation,Op2315,"Rv0135c,csoR,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv3706c
Rv3824c,0.0804862906,papA1,acyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2393,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0328,Rv0465c,Rv0653c,Rv0678,phoP,mprA,mprB,trcR,Rv1353c,lysG,sigC,devR,mtrA,Rv3249c,Rv3488,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv3824c
Rv1181,0.0800820966,pks4,polyketide beta-ketoacyl synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op773,"Rv0047c,Rv0081,phoP,csoR,mprA,mprB,trcR,Rv1353c,whiA,Rv1719,Rv1776c,Rv1816,Rv2011c,Rv2250c,Rv3249c,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv1181
Rv1185c,0.0793615359,fadD21,fatty-acid--CoA ligase FadD21,Lipid transport and metabolism,Op776,"Rv0023,Rv0081,Rv0678,phoP,Rv1776c,Rv2011c,whiB4,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv1185c
Rv1638A,0.07858258080000001,Rv1638A,hypothetical protein,Transcription,Op1035,"Rv0023,Rv0047c,Rv0081,Rv0324,csoR,Rv1049,Rv1353c,Rv1776c,Rv1816,Rv2011c,Rv2034,Rv2250c,Rv3488,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1638A
